	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
rx1	2.48174343871839e-66	0.800328151292391	0.459	0.008	4.54432041063724e-62	FB.1	rx1
aldh1a3	3.31076406421585e-58	1.37860959710889	0.649	0.033	6.06234007798564e-54	FB.1	aldh1a3
rorb	4.05278576422803e-45	1.1022303296811	0.459	0.02	7.42105601287795e-41	FB.1	rorb
six3b	5.97193021008622e-44	0.9759248462144	0.568	0.035	1.09352014076889e-39	FB.1	six3b
hmx4	5.35897674886335e-40	0.34355618097484	0.216	0.001	9.81282232484369e-36	FB.1	hmx4
si:dkey-31j3.11	2.71266336478407e-34	0.659422618008217	0.486	0.034	4.9671578872561e-30	FB.1	si:dkey-31j3.11
lamb1a	4.15524883379847e-30	2.2938448049906	0.946	0.25	7.60867613956839e-26	FB.1	lamb1a
sfrp5	2.07341715064697e-26	1.66096866695142	0.892	0.207	3.79663414454967e-22	FB.1	sfrp5
taar20i	2.7236206351393e-26	0.776110272853162	0.432	0.038	4.98722174500357e-22	FB.1	taar20i
traf4a	6.34725090321012e-26	1.64229567578711	0.865	0.195	1.1622451128868e-21	FB.1	traf4a
grasp	9.11943815639433e-26	1.14433050567792	0.73	0.129	1.66986032081737e-21	FB.1	grasp
ctnnal1	1.24119239209049e-25	1.4608290524621	0.865	0.218	2.2727473891569e-21	FB.1	ctnnal1
hmx1	7.24440362557858e-25	0.337256192619102	0.189	0.004	1.32652274787969e-20	FB.1	hmx1
fras1	1.36394891988884e-22	1.44049882250568	0.892	0.241	2.49752686720846e-18	FB.1	fras1
mllt3	1.47804801519871e-21	0.881625821029633	0.568	0.083	2.70645372063036e-17	FB.1	mllt3
lhx2b	4.90391145986349e-21	0.513927784176275	0.378	0.035	8.97955227415604e-17	FB.1	lhx2b
fgfrl1a	4.9624127238983e-21	1.58939377462455	0.811	0.214	9.08667393873019e-17	FB.1	fgfrl1a
vcana	2.19779384404622e-20	0.757121220362617	0.514	0.073	4.02438030783304e-16	FB.1	vcana
rx2	2.62768754600018e-20	0.338828612437855	0.162	0.004	4.81155866548093e-16	FB.1	rx2
epha3	6.1626362000369e-20	1.35786381201207	0.405	0.047	1.12844031458876e-15	FB.1	epha3
si:ch211-202p1.5	2.94489764193957e-19	0.384859145210244	0.189	0.008	5.39240207215554e-15	FB.1	si:ch211-202p1.5
adamts9	8.48665601017528e-19	0.441286883387929	0.297	0.024	1.5539915820232e-14	FB.1	adamts9
cxxc4	1.6162200097508e-18	0.555855659847877	0.297	0.025	2.9594604598547e-14	FB.1	cxxc4
foxg1b	2.25284073473505e-18	0.274520437271139	0.162	0.005	4.12517666937335e-14	FB.1	foxg1b
rx3	5.9765255653281e-18	0.387978487054423	0.189	0.009	1.09436159626723e-13	FB.1	rx3
cx43	6.65362058872515e-18	0.567173609782988	0.135	0.003	1.21834446600146e-13	FB.1	cx43
hmcn2.1	1.69417413651911e-17	1.59049380902088	0.757	0.234	3.10220226138014e-13	FB.1	hmcn2.1
pou2f2a.1	1.27077052770003e-16	1.13433513173354	0.892	0.306	2.32690791327152e-12	FB.1	pou2f2a.1
si:dkey-91m11.5	1.28522525689754e-16	1.13775185752125	0.568	0.116	2.35337596790508e-12	FB.1	si:dkey-91m11.5
col14a1a	1.32043347232328e-16	1.3366192130331	0.73	0.202	2.41784573117115e-12	FB.1	col14a1a
rdh10a	1.48715608433705e-16	0.386230824768156	0.297	0.028	2.72313150602956e-12	FB.1	rdh10a
