	Cluster	HB10hpf	HB13hpf	HB16hpf	Cluster	CHB.1	CHB.2	CHB.3	FB	FB &  eye.2	FB & eye.1	FB & eye.5	FB & eye.8	HB.1	HB.2	HB.3	MB	MHB.1	MHB.2	MHB.3	NC.1	NC.2	SC.1	SC.2	SC.3	Cluster	CHB.1	CHB.2	CHB.3	Ciliated	FB.1	FB.2	FB.4	MB.1	MB.2	MB.3	MHB.1	MHB.2	MHB.3	MHB.4	MHB.5	Neuron	r1	r1 & r2	r2	r3	r4	r5	r6	SC.1	SC.2	SC.3	Cluster	CHB.1	CHB.2	CHB.3	CHB.4	Ciliated	DorsNT & NC	FB	MB.1	MB.2	MHB.1	MHB.2	MHB.3	Neuron	r1	r2	r3	r4	r5.1	r5.2	r6	SC.1	SC.2	SC.3
1	MB.1	20	61	38	MB.1	0	0	0	2	0	0	0	0	0	0	0	11	7	0	0	0	0	0	0	0	MB.1	0	0	0	0	0	0	1	1	28	30	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	MB.1	0	0	0	0	0	0	0	35	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	MB.2	31	32	8	MB.2	0	0	0	0	0	0	2	0	0	0	0	29	0	0	0	0	0	0	0	0	MB.2	0	0	0	0	0	0	0	30	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	MB.2	0	0	0	0	0	0	1	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	MB.3	6	21	13	MB.3	0	0	0	4	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	MB.3	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	MB.3	0	0	0	0	1	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	MHB.1	39	39	34	MHB.1	0	0	0	0	0	1	16	0	0	0	0	2	2	0	18	0	0	0	0	0	MHB.1	0	0	0	0	0	0	0	1	0	0	0	32	3	3	0	0	0	0	0	0	0	0	0	0	0	0	MHB.1	0	0	0	0	0	0	0	0	21	0	12	1	0	0	0	0	0	0	0	0	0	0	0
5	MHB.2	18	50	37	MHB.2	0	0	0	0	0	0	0	0	0	0	0	0	0	16	2	0	0	0	0	0	MHB.2	0	0	0	0	0	0	0	0	0	0	43	1	0	0	4	0	2	0	0	0	0	0	0	0	0	0	MHB.2	0	0	0	0	0	0	0	0	0	15	0	22	0	0	0	0	0	0	0	0	0	0	0
6	MHB.3	22	37	19	MHB.3	0	0	0	0	0	0	0	0	0	0	0	0	17	0	5	0	0	0	0	0	MHB.3	0	0	0	0	0	0	1	0	1	0	0	1	9	24	1	0	0	0	0	0	0	0	0	0	0	0	MHB.3	0	0	0	0	0	0	0	1	0	3	15	0	0	0	0	0	0	0	0	0	0	0	0
7	MHB.4	10	20	24	MHB.4	0	0	0	0	0	0	0	0	1	0	0	0	1	7	1	0	0	0	0	0	MHB.4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	16	0	2	0	0	0	0	0	0	0	0	0	MHB.4	0	0	0	0	0	0	0	0	0	23	0	1	0	0	0	0	0	0	0	0	0	0	0
8	MHB.5	15	22	15	MHB.5	0	0	0	1	0	0	0	0	0	0	0	2	8	0	4	0	0	0	0	0	MHB.5	0	0	0	0	0	0	0	0	1	0	0	1	20	0	0	0	0	0	0	0	0	0	0	0	0	0	MHB.5	0	0	0	0	0	0	0	4	5	0	6	0	0	0	0	0	0	0	0	0	0	0	0
9	MHB.6	16	0	1	MHB.6	0	0	0	0	0	0	0	0	1	0	0	0	3	11	1	0	0	0	0	0	MHB.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	MHB.6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
10	Neurog	19	8	17	Neurog	1	0	0	2	0	2	1	1	5	1	2	2	0	1	0	1	0	0	0	0	Neurog	0	0	1	0	1	0	0	2	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	Neurog	0	0	0	10	0	1	1	0	1	1	0	2	0	0	0	0	0	0	0	0	1	0	0
