	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
stra6	5.83387938234359e-86	1.69098051127257	0.563	0.06	1.13772315714465e-81	MB.1	stra6
dmbx1b	1.53248526527005e-49	0.447484612922695	0.286	0.024	2.98865276432965e-45	MB.1	dmbx1b
ndst2b	4.59675815638668e-38	1.24522286943534	0.765	0.3	8.96459775658531e-34	MB.1	ndst2b
otx2b	3.16678747129118e-36	0.385652199502582	0.311	0.041	6.17586892651207e-32	MB.1	otx2b
otx1	7.25424623982583e-34	0.537433459634652	0.387	0.069	1.41472310169083e-29	MB.1	otx1
rbp5	2.21380467066975e-29	0.557163920537188	0.336	0.061	4.31736186874014e-25	MB.1	rbp5
fgfr2	3.56435092423484e-28	1.10810302232175	0.992	0.808	6.95119717244279e-24	MB.1	fgfr2
mab21l2	3.51190838867367e-26	0.431571950017655	0.218	0.029	6.84892373959139e-22	MB.1	mab21l2
ngfb	4.07613963605204e-26	0.371555183489744	0.218	0.029	7.94928751822869e-22	MB.1	ngfb
kif5c	4.57364924700097e-26	0.62609658371934	0.303	0.055	8.91953076150129e-22	MB.1	kif5c
otx2a	2.46735609484521e-22	0.581174723835682	0.311	0.067	4.81183785616713e-18	MB.1	otx2a
SIPA1	6.0403170159267e-20	0.536623282210416	0.487	0.162	1.17798262444602e-15	MB.1	SIPA1
ush1c	1.54810439654504e-19	0.263373280049595	0.176	0.025	3.01911319414214e-15	MB.1	ush1c
fgfbp3	4.56228719701461e-19	0.355586723417382	0.261	0.055	8.89737249161789e-15	MB.1	fgfbp3
pou3f3b	1.53671914345651e-18	0.677182187580883	0.597	0.26	2.9969096735689e-14	MB.1	pou3f3b
tcf7l1b	2.59690441177261e-17	0.978343813299258	0.664	0.355	5.06448298383895e-13	MB.1	tcf7l1b
dmbx1a	6.55080607733392e-17	0.330360747129209	0.252	0.056	1.27753820120166e-12	MB.1	dmbx1a
efna2a	1.22819429565549e-16	1.00319077672922	0.815	0.564	2.39522451538734e-12	MB.1	efna2a
ebf3a	1.27533331426624e-16	0.918477843951471	0.37	0.116	2.48715502948202e-12	MB.1	ebf3a
syne1b	2.06235399138815e-16	0.628941706464598	0.378	0.119	4.02200275400518e-12	MB.1	syne1b
afap1l2	8.03860585041382e-16	0.62937445006857	0.235	0.055	1.5676889129477e-11	MB.1	afap1l2
ek1	1.69773699754348e-15	0.60580537393539	0.513	0.21	3.31092669260929e-11	MB.1	ek1
si:ch73-364h19.1	2.26307031492735e-15	0.49710091048242	0.504	0.201	4.41343972817132e-11	MB.1	si:ch73-364h19.1
tcf7l2	3.64917161947464e-15	1.01043198775476	0.58	0.274	7.11661449229945e-11	MB.1	tcf7l2
crb1	1.21350646967861e-14	0.633329770034388	0.647	0.329	2.36658031716722e-10	MB.1	crb1
ntn1a	3.42337753309248e-14	0.730617893753505	0.765	0.43	6.67627086503694e-10	MB.1	ntn1a
sall3b	5.66522657974239e-14	0.493344640132578	0.244	0.065	1.10483248758136e-09	MB.1	sall3b
zfpm2b	1.54199279222959e-13	0.413749355093197	0.21	0.049	3.00719434340615e-09	MB.1	zfpm2b
ptprnb	2.16951053558155e-13	0.580452235915631	0.807	0.487	4.23097944649114e-09	MB.1	ptprnb
mbd3b	2.85623720291422e-13	0.603541153064308	0.857	0.63	5.5702337931233e-09	MB.1	mbd3b
skia	7.27895692183961e-13	0.622810714651084	0.824	0.614	1.41954217889716e-08	MB.1	skia
plxnb1a	1.89348637574545e-12	0.41179132494331	0.504	0.222	3.69267712997878e-08	MB.1	plxnb1a
