	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
cldni	1.8045806009513e-184	1.21619233995043	0.664	0.015	3.22803377898169e-180	Placode.1	cldni
samd10a	4.91149104066975e-166	1.30942025864324	0.614	0.015	8.78567517355005e-162	Placode.1	samd10a
myh9a	4.5634258009367e-154	1.66880252386906	0.786	0.057	8.16305607271557e-150	Placode.1	myh9a
rpe65b	7.0940339545768e-154	1.66862173894649	0.736	0.044	1.2689807937947e-149	Placode.1	rpe65b
gata2a	8.20621901618906e-145	1.60951512168932	0.786	0.059	1.4679284576159e-140	Placode.1	gata2a
niban2a	4.6595691753836e-140	1.81813850190573	0.793	0.071	8.33503734092619e-136	Placode.1	niban2a
F2RL3	6.06148935541154e-135	1.08278297506468	0.529	0.016	1.08427921589602e-130	Placode.1	F2RL3
pls3	1.65984655619892e-134	2.28933904072686	0.857	0.103	2.96913351972863e-130	Placode.1	pls3
fermt1	2.03631845703491e-131	1.57266872234118	0.793	0.073	3.64256645594404e-127	Placode.1	fermt1
pitpnc1b	1.4916737589803e-129	1.15674273108403	0.55	0.022	2.66830602006397e-125	Placode.1	pitpnc1b
itga3b	2.13949590885089e-129	1.77230326927258	0.821	0.089	3.82713028175247e-125	Placode.1	itga3b
bmp7a	3.73136575147869e-122	1.44329837922202	0.779	0.083	6.67466705624508e-118	Placode.1	bmp7a
tp63	1.70055994203176e-119	2.46667521127144	0.957	0.172	3.04196162430641e-115	Placode.1	tp63
myo9b	7.97952481995716e-118	0.849903972319609	0.493	0.018	1.42737739979394e-113	Placode.1	myo9b
gata3	1.92372308815943e-117	1.15823446380625	0.607	0.04	3.44115586009959e-113	Placode.1	gata3
plekha6	1.52064311998143e-115	2.32128214245379	0.921	0.161	2.72012641302279e-111	Placode.1	plekha6
tnfaip8l2b	7.17571310946288e-115	0.85177638665238	0.443	0.012	1.28359156102072e-110	Placode.1	tnfaip8l2b
myo1eb	3.09439131323993e-112	0.969506274689683	0.564	0.034	5.53524718112359e-108	Placode.1	myo1eb
cnksr1	2.32154558968351e-107	1.10504279422138	0.621	0.048	4.15278075082587e-103	Placode.1	cnksr1
zgc:92380	6.59353870476035e-107	1.07606237591837	0.493	0.023	1.17945220350753e-102	Placode.1	zgc:92380
