	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
sox10	0	1.76762493767228	0.8	0.009	0	NC.1	sox10
sox9b	5.85850766105709e-257	1.45512618087471	0.766	0.026	1.20122841082315e-252	NC.1	sox9b
ednrab	9.97734918982568e-234	0.967959303189595	0.524	0.005	2.04575567788186e-229	NC.1	ednrab
foxd3	1.27221324566364e-192	1.08797561717217	0.538	0.014	2.60854603890873e-188	NC.1	foxd3
ets1	5.87560552514129e-179	1.04344497259259	0.579	0.022	1.20473415687497e-174	NC.1	ets1
snai1b	2.4204222769853e-175	2.67708893282597	0.966	0.128	4.96283383673065e-171	NC.1	snai1b
pdgfra	1.05535459773877e-167	2.57258188584244	0.938	0.122	2.16389906720357e-163	NC.1	pdgfra
kcnab1a	8.01625251465356e-148	3.38987186480791	0.862	0.122	1.64365241560456e-143	NC.1	kcnab1a
twist1b	1.56342625353649e-130	0.70413792451861	0.421	0.015	3.20564919025122e-126	NC.1	twist1b
myo10l1	1.32585171112309e-123	1.26864973726525	0.531	0.037	2.71852634848678e-119	NC.1	myo10l1
col15a1b	8.23477339493388e-120	2.28000019064048	0.979	0.211	1.68845793689724e-115	NC.1	col15a1b
prex2	8.90910002834686e-120	2.92445810578834	0.897	0.196	1.82672186981224e-115	NC.1	prex2
tfap2a	8.50310566430671e-118	1.56939112110427	0.883	0.145	1.74347678540945e-113	NC.1	tfap2a
slc1a3a	3.51541465997341e-108	2.09760397047645	0.897	0.209	7.20800621880947e-104	NC.1	slc1a3a
sdk2b	3.46008192739437e-95	1.48207870211507	0.586	0.072	7.09455198392941e-91	NC.1	sdk2b
itga9	3.29120310040906e-93	2.34832270335588	0.931	0.245	6.74828283707874e-89	NC.1	itga9
thsd7aa	5.369735808156e-92	1.63888584831588	0.6	0.08	1.10101063010431e-87	NC.1	thsd7aa
sox6	4.73543876725793e-91	2.51787040783208	0.924	0.278	9.70954364838567e-87	NC.1	sox6
sox5	1.17820790054117e-87	2.3596956377409	0.924	0.309	2.41579747926962e-83	NC.1	sox5
gdf6a	1.18560331258784e-84	0.694394229863631	0.441	0.039	2.4309610321301e-80	NC.1	gdf6a
pax3a	3.06396913274568e-84	2.64873536163453	0.952	0.356	6.28236230978174e-80	NC.1	pax3a
cdh7a	2.49103811156026e-78	1.52959880110197	0.91	0.23	5.10762454394315e-74	NC.1	cdh7a
cyth1b	5.14736406661636e-75	2.09943381567554	0.903	0.376	1.05541552821902e-70	NC.1	cyth1b
kalrnb	5.33678527710693e-73	0.78937406547191	0.545	0.077	1.09425445321801e-68	NC.1	kalrnb
gria1a	5.49541811019571e-71	1.51659791589276	0.579	0.096	1.12678052931453e-66	NC.1	gria1a
klf7a	6.62957689367789e-71	1.4753058117933	0.731	0.162	1.35932844627971e-66	NC.1	klf7a
col16a1	1.57092833098418e-69	1.44413745556433	0.697	0.16	3.22103144984996e-65	NC.1	col16a1
atp1b3a	2.26380316769238e-66	1.34291826597096	0.834	0.255	4.64170201503646e-62	NC.1	atp1b3a
stard13b	3.19998504653719e-63	1.56179674258944	0.738	0.199	6.56124933941986e-59	NC.1	stard13b
foxo6b	6.93204701223876e-62	0.865860116063242	0.352	0.034	1.42134691938944e-57	NC.1	foxo6b
