	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
ntn1b	1.29374744370719e-08	-4.06306936502476	0.15	1	0.000253897935827536
bmpr1ba	3.07938538879685e-08	-2.04237860227055	0.025	0.778	0.000604329382551381
rgs3b	4.14959833757714e-08	-1.58371933387052	0.075	0.889	0.000814358673749514
s1pr2	5.68520860742887e-08	-1.82185449175272	0.075	0.889	0.00111572218920792
ephb3a	8.86993152779318e-08	-2.68038206579984	0.175	1	0.00174072406232941
tp53i11b	2.0630874404179e-07	-1.21089678249862	0.15	1	0.00404880910182014
chrd	9.58140261317213e-07	-2.18516995738025	0.075	0.778	0.0188035026283503
nhsb	9.85544285912323e-07	-0.736965594166206	0	0.556	0.0193413066110293
tecta	9.96954342969107e-07	-0.830074998557688	0	0.556	0.0195652289807687
sox13	1.54040558892665e-06	-2.91753783980803	0.35	1	0.0302304596826855
unm-hu7910	1.58988892234607e-06	-0.973665852186538	0.075	0.778	0.0312015701010416
cdh11	2.09904824203038e-06	-2.91431153572572	0.275	1	0.0411938217498462
si:zfos-905g2.1	2.55253284410165e-06	-0.813201179993292	0.075	0.778	0.0500934570654949
greb1l	2.99746381988702e-06	-2.2827897009804	0.7	1	0.0588252274652828
adgrl2a	3.53414279693338e-06	-2.36172168474639	0.85	1	0.0693575523898177
col4a6	5.18573278064652e-06	-2.15200309344505	0.775	1	0.101770005820188
chl1b	5.5182073974083e-06	-2.41503749927884	0.325	1	0.108294820174138
foxp2	6.03306183691102e-06	-0.940498988251338	0.1	0.778	0.118398838549379
cnp	7.17933060556265e-06	-0.75968567066629	0.05	0.667	0.140894363134167
ntn1a	7.89111690478172e-06	-2.26470322619441	0.8	1	0.154863169256341
cltca	8.05109262642056e-06	-0.939009370110852	0.125	0.889	0.158002692793504
phox2a	9.75739795572158e-06	-1.18676851160573	0.025	0.556	0.191488934881036
smarcad1b	1.19687513094908e-05	-0.881913930077306	0.025	0.556	0.234886744448756
rreb1b	1.20256604608906e-05	-0.964376090269279	0.025	0.556	0.236003586544977
