	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
hsp90aa1.2	1.27480670209221e-12	2.63193516418139	0.885	0.024	2.50180815285595e-08
hspa5	2.44557928569375e-10	2.16362959491083	0.885	0.143	4.79944934817398e-06
ankmy1	7.72712261465289e-10	1.27684020535882	0.692	0	1.51644781312563e-05
cdh11	1.2205183996149e-09	-2.81841799664547	0.231	0.905	2.39526735924424e-05
adgrl2a	1.56009219848469e-09	-1.85638999610281	0.692	1	3.0616809395262e-05
hsp90b1	8.25516918831613e-09	1.84715593011558	0.692	0.048	0.000162007695320704
pdia3	9.07304258982587e-09	0.927945062871193	0.731	0.048	0.000178058460825333
hyou1	9.2169220062396e-09	1.52375494582934	0.808	0.119	0.000180882094372452
hsph1	1.15608772189493e-08	1.40808473863708	0.615	0	0.000226882215421879
jun	1.24117041506895e-08	1.56939369811267	0.654	0.024	0.000243579693957281
SBNO2	1.27782735938269e-08	1.41624326202424	0.731	0.071	0.000250773619278852
zfand4	1.6924978414982e-08	-1.43150471086761	0.077	0.81	0.000332152701394022
spock1	1.83185308569081e-08	1.56902095685213	0.769	0.095	0.000359501168066821
stat1a	6.32129472363636e-08	1.12928301694497	0.769	0.143	0.00124055408951364
edrf1	8.03177991469403e-08	1.27684020535882	0.769	0.143	0.0015762368082587
eif2ak3	1.15366919786966e-07	1.32711341184005	0.731	0.119	0.00226407580081921
ryr2b	1.53445361794933e-07	1.10691520391651	0.538	0	0.00301136522522556
atf3	1.7371480373498e-07	1.30854906508616	0.654	0.071	0.00340915302329899
ephb3a	1.92070460189481e-07	-2.07970608639811	0.308	0.833	0.00376938278121856
hsh2d	2.17533478897933e-07	0.909469139710295	0.577	0.024	0.00426909452337194
oga	2.89899769961679e-07	-1.38087863779765	0.077	0.738	0.00568928298549794
pdia6	3.26116720616096e-07	1.31636856954546	0.692	0.095	0.00640004064209088
dnajb2	5.31829498699423e-07	1.08091999538357	0.5	0	0.0104371539119762
sox13	5.69802289160876e-07	-2.11951273065509	0.385	0.857	0.0111823699247822
