	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
hsp90aa1.2	1.3289145337688e-10	2.6451655693949	0.963	0.071	2.60799477252126e-06
hspa5	1.22556198452886e-08	1.40393979039551	0.815	0.036	0.000240516539463789
atrx	2.66070874356126e-08	-1.46576896702621	0.63	1	0.000522164090923898
oga	2.33642517066638e-07	-1.50007360313464	0.111	0.786	0.00458523439743277
zgc:158463	4.08922866151338e-07	0.937287757397578	1	1	0.00802511124822001
serpinh1b	1.11654689143367e-06	1.69818395169439	0.926	0.393	0.0219122327443858
rnf24	1.87648791496881e-06	1.42750685124106	0.741	0.143	0.0368260753312629
si:ch211-285f17.1	3.25423649395781e-06	-1.38459638571471	0.481	0.929	0.063864391193922
zbtb16a	3.34454442719202e-06	-1.73412894199667	0.926	1	0.0656366843836435
gli1	4.4856298511123e-06	-1.28856949794093	0.074	0.679	0.088030485828079
myo1b	5.35042138720028e-06	-1.20387233336565	0.222	0.857	0.105002019723806
pdcd4b	5.41238476336276e-06	1.57602937595115	0.704	0.143	0.106218050980994
trappc10	5.54263505834776e-06	-0.873531998662088	0.111	0.714	0.108774213020075
ntn1b	5.62031186454734e-06	-1.63644604486593	0.37	0.929	0.110298620341742
ek1	6.64007000609932e-06	-1.0146467759644	0.852	1	0.130311373869699
stat3	6.97952968944904e-06	1.6094155444457	0.889	0.536	0.136973270155437
ints8	7.65581837810312e-06	-1.0630097975258	0.667	0.964	0.150245435670274
cldn5a	7.66358321879865e-06	1.31026517736178	0.889	0.429	0.150397820668923
tmem132e	8.22079052330037e-06	-1.07998287612951	0.519	0.964	0.16133301401977
tox	1.02528307421138e-05	-1.09755802411047	0.741	1	0.201211803313984
ncor2	1.19208560991141e-05	-1.10281080558378	0.407	0.857	0.233946800945114
crb2a	1.31278088403422e-05	1.29926118472072	0.963	0.429	0.257633248491716
chd7	1.53988321984344e-05	-0.947532580105864	0.741	1	0.302202081894275
gli3	1.55442653540319e-05	-1.30958878769854	1	1	0.305056207572876
epha7	1.76963157949159e-05	-1.83846088095839	0.815	0.964	0.347290197475224
si:ch211-212k18.4	1.87487733554044e-05	-0.927903773356932	0.37	0.821	0.367944677099811
sipa1l2	1.98367441447147e-05	-1.15662817882885	0.815	0.964	0.389296103840025
zgc:173552.3	2.32343156953795e-05	1.13993026114448	0.667	0.143	0.455973445521823
adgrl2a	2.53883791895839e-05	-1.18230872589814	0.852	1	0.498246941595583
ipo7	2.80906452305304e-05	-1.15842936260448	0.481	0.929	0.551278912649158
stau2	2.90647628408971e-05	-1.09258291290915	0.63	0.929	0.570395970752605
klf6a	3.05746572425623e-05	1.03109376910157	0.704	0.143	0.600027648385284
brdt	3.44179617983396e-05	1.01770200173346	0.963	0.643	0.675452500292416
slc12a2	3.96433196965394e-05	-0.886132035441721	0.259	0.786	0.778000149044585
