	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
hsp90aa1.2	1.1908610296196e-22	2.7271997276537	0.938	0.024	2.33706477062846e-18
jak1	2.26599069937274e-16	1.95513617689626	0.906	0.181	4.44700674751901e-12
tpm4a	2.36550005339225e-13	1.63556698157014	0.781	0.145	4.64229385478228e-09
serpinh1b	2.46353743719204e-13	1.97080868702466	0.938	0.253	4.83469222048937e-09
hspa5	3.94450947222736e-13	1.53632033837999	0.75	0.108	7.74109983924619e-09
stat3	1.23893458958721e-12	1.53550410354017	1	0.494	2.43140913206489e-08
zbtb16a	4.22878391844735e-12	-1.19853630907242	1	1	8.29898843995292e-08
calr	8.98653978743028e-12	0.872539090817741	0.562	0.024	1.76360843328319e-07
SBNO2	1.06084936845523e-11	1.1153956147139	0.531	0.012	2.08191688559339e-07
cbx7a	1.53996604641384e-11	1.48195463526344	0.656	0.084	3.02218336608717e-07
jarid2b	1.87078355613203e-11	-1.29866287413795	0.938	1	3.67141272890911e-07
atf3	2.16379455407488e-11	1.68054197832118	0.781	0.193	4.24644681237194e-07
tox	4.01057278717989e-11	-1.42210167784868	0.562	0.988	7.87074909484053e-07
matn3a	4.88125874628331e-11	0.626578198342889	0.5	0.012	9.579470289581e-07
kif5c	2.62793481463526e-10	1.40606632696755	0.625	0.084	5.15732207372169e-06
hspa8b	2.67983506754438e-10	0.737609510731633	0.469	0.012	5.25917632005584e-06
brdt	5.74027501837255e-10	1.16306362595582	0.938	0.566	1.12652897235561e-05
afap1l2	6.33961193314536e-10	1.48195463526344	0.594	0.084	1.24414884187978e-05
atrx	8.17933738536437e-10	-1.41708097701552	0.625	0.952	1.60519496187776e-05
col2a1a	1.41080632840184e-09	1.1365273446472	0.75	0.217	2.76870741948862e-05
hivep2a	1.47874793827969e-09	1.07301089389727	0.594	0.084	2.90204282887389e-05
spsb4a	1.75667193594929e-09	-1.57332780023775	0.438	0.928	3.44746867430048e-05
puf60a	1.82192068565618e-09	-1.34304815261359	0.406	0.892	3.57551934560026e-05
lamb2	1.83801623151068e-09	1.13267859377788	0.656	0.133	3.60710685433971e-05
sall4	4.48373659445422e-09	1.03059389989813	0.812	0.289	8.7993330666164e-05
igf2b	5.30850815020972e-09	1.10585279853154	0.594	0.096	0.000104179472447866
zeb1b	6.76866226239492e-09	-1.23725505134543	0.688	0.976	0.0001328349968995
pdcd4b	7.41742539744359e-09	1.06411033540882	0.656	0.145	0.000145566973424831
eef2b	8.4282661104849e-09	-1.15200309344505	0.594	0.94	0.000165404722418266
ilf3b	9.83092224193733e-09	-1.09889175698549	0.438	0.928	0.00019293184899802
dnajb2	1.1016001715164e-08	0.790076930625769	0.469	0.036	0.000216189033660094
her4.2	1.52553376392687e-08	-2.01727799143184	0.281	0.783	0.000299386001170649
greb1l	1.56094617202222e-08	-1.60478268671544	0.531	0.928	0.000306335686259362
hsph1	1.66577773448565e-08	0.892887736209544	0.5	0.06	0.000326908880392808
cldn5a	1.789725816174e-08	1.05031270310689	0.844	0.41	0.000351233691424148
hsp70.3	2.35164850400359e-08	0.459431618637297	0.344	0	0.000461511018910704
map7d2b	2.42140107538192e-08	0.748497826874369	0.5	0.06	0.000475199961043702
ankmy1	2.42433342887671e-08	0.643856189774725	0.344	0	0.000475775435417054
stra6	2.50083793604994e-08	1.22602948221386	0.969	0.554	0.0004907894449498
