	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
crb2a	3.57389625946308e-17	2.19410018848424	0.917	0.116	7.0137714091963e-13
hsp90aa1.2	4.75866353853222e-17	2.2369407299056	0.861	0.072	9.33887719436949e-13
zbtb16a	2.50366451746185e-15	-1.57989151117373	1	1	4.91344161551889e-11
pax3a	3.1060308586628e-14	-2.47192256282049	0.333	0.986	6.09558556012574e-10
stat3	1.01551972665286e-13	1.76664677254656	1	0.725	1.99295746355623e-09
cbx7a	5.88704868893174e-13	1.35870794416212	0.667	0.029	1.15533330520285e-08
cachd1	7.44286386716378e-13	-1.26730484321202	0.944	1	1.46066203393089e-08
atf3	4.27958042397421e-12	2.01135579777117	0.806	0.159	8.39867658204939e-08
zgc:158463	4.94529495125074e-12	1.10260896653747	1	0.986	9.70514134182958e-08
elmsan1b	5.62499289220876e-12	1.50079064839835	0.972	0.623	1.10390485509597e-07
jak1	1.69274946658601e-11	1.55856840588493	0.861	0.319	3.32202082817505e-07
brdt	2.54221547174961e-11	1.34385593382212	1	0.638	4.98909786330861e-07
hivep2a	3.79203234045246e-11	1.51730296558533	0.694	0.101	7.44186346813795e-07
serpinh1b	3.92204242743419e-11	1.99059409297412	0.861	0.333	7.6970082638396e-07
cnn2	6.01793208743869e-11	0.979241439833203	0.556	0.014	1.18101917215984e-06
SBNO2	1.73549385731776e-10	1.13385574673479	0.5	0	3.40590669498611e-06
angptl4	2.26610372015434e-10	0.938599455335857	0.667	0.087	4.44722855080288e-06
ptprna	2.40784781567364e-10	1.06413033741972	0.667	0.087	4.72540133825951e-06
her2	7.15921059851038e-10	0.899071091149219	0.611	0.058	1.40499507995766e-05
zeb1b	1.05511336325687e-09	-1.4984296162493	0.694	0.986	2.0706599753916e-05
oga	1.07592917911166e-09	-1.19525629139893	0	0.652	2.11151101400662e-05
junba	1.12930907513784e-09	0.900125307521221	0.639	0.087	2.216269059958e-05
cldn5a	1.16591995829619e-09	1.14418358898575	0.889	0.42	2.28811791815628e-05
tnikb	1.17045503220467e-09	-1.47890629953374	0.611	0.942	2.29701800070167e-05
tpm4a	1.28728825480206e-09	1.36006322377413	0.889	0.362	2.52630320004903e-05
hspa5	1.35299087372415e-09	1.04169294829996	0.722	0.159	2.65524458968365e-05
nkd1	1.63175542005168e-09	-1.51277989100671	0.25	0.841	3.20232001185142e-05
map7d2b	1.77226581657289e-09	0.993047239358233	0.639	0.087	3.47807166502429e-05
rnf24	2.18505710162733e-09	1.35755200461808	0.778	0.261	4.28817456194364e-05
nrarpa	2.27918500698143e-09	1.11417101991931	0.75	0.203	4.47290057620105e-05
ankmy1	3.75349769248293e-09	0.979241439833203	0.472	0.014	7.36623922149775e-05
ipo7	7.35521915626325e-09	-1.1790955873339	0.75	0.942	0.000144346175941666
jarid2b	9.67665843863057e-09	-0.901795728485755	0.944	1	0.000189904421858125
axin2	1.09051911173408e-08	-1.03715299841747	0.444	0.899	0.000214014375677814
jun	1.48665914526678e-08	1.09425032579605	0.639	0.116	0.000291756857258605
calr	1.64158432753953e-08	0.59067615191555	0.444	0.014	0.000322160924279632
