	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
hspa5	2.98899001250144e-11	1.81062263589151	0.833	0.077	5.86589289953408e-07
hsp90aa1.2	6.56156462895634e-11	1.80614915931221	0.944	0.205	1.28770705843268e-06
tox	5.38318426129528e-09	-2.01227832977844	0.361	0.872	0.00010564499112792
jarid2b	6.08392995827472e-09	-1.94530729109287	0.75	0.974	0.000119397125431141
sfswap	1.72827523407985e-08	-1.24709286196477	0.417	0.897	0.000339174014688171
atrx	2.81430343839254e-08	-1.28787847681127	0.667	0.974	0.000552307049784537
oga	4.39753891070149e-08	-1.33103851333208	0.306	0.872	0.000863017011225168
dlg5a	9.37326533350923e-08	-1.19170429209824	0.333	0.897	0.00183950332170119
chd7	1.59294633898827e-07	-1.31153292352498	0.722	0.949	0.00312615719026448
zgc:158463	5.03170088821545e-07	0.874849224634421	1	1	0.00987471299312281
clasp1a	6.22372089518807e-07	-1.05444778402238	0.444	0.872	0.0122140522568066
matn3a	6.52793927884578e-07	0.917537839808027	0.5	0	0.0128110808347349
spsb4a	7.19188588393864e-07	-1.76034337135933	0.583	0.923	0.0141140760472296
slc38a4	9.92248575723922e-07	0.960502557443595	0.833	0.256	0.019472878298582
st6gal2a	1.01550094984304e-06	-0.971985623830404	0.056	0.615	0.0199292061406697
herc4	1.26276006657424e-06	0.953205788521059	0.722	0.154	0.0247816663065195
fkbp4	1.66342011894633e-06	0.866449669580021	0.556	0.051	0.0326446198343218
ipo7	1.74930241805934e-06	-1.12472648003297	0.528	0.897	0.0343300599544145
arid3b	1.97895317994424e-06	-1.44819050493799	0.694	0.923	0.0388369561564056
puf60a	2.30849464643653e-06	-0.969411680166577	0.5	0.897	0.0453042074363169
serpinh1b	3.06059789941642e-06	1.62136814714989	0.667	0.154	0.0600642337760471
adgrl2a	3.61368815119575e-06	-1.60737564042011	0.639	0.949	0.0709186299672167
greb1l	3.61894140815346e-06	-1.48693041776063	0.722	0.974	0.0710217251350117
hsp90b1	3.94583765505687e-06	1.13385574673479	0.444	0	0.0774370639804911
efnb3b	4.64901438843701e-06	-1.65625379490695	0.444	0.795	0.0912369073730764
chordc1a	4.70000024093042e-06	0.780293025830307	0.5	0.026	0.0922375047282596
dock1	6.32264206437258e-06	-1.18336726435439	0.5	0.846	0.124081850513312
smarca4a	6.81677694438104e-06	-0.856508406410467	0.583	0.897	0.133779247533478
nrarpa	7.0441958888119e-06	1.04676446733592	0.528	0.051	0.138242344317933
