	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
hsp90aa1.2	6.02648044645119e-21	2.5701234551435	1	0.049	1.18269678761605e-16
hspa5	1.65883851969286e-16	1.81460746460552	0.886	0.098	3.25547059489725e-12
adgrl2a	3.04851490272265e-16	-2.10122733225405	0.727	1	5.9827104965932e-12
celsr1a	1.21569672120313e-15	-2.24313330622401	0.273	0.984	2.38580481536113e-11
jarid2b	2.57641101351392e-15	-1.80730733427402	0.75	1	5.05620661402107e-11
antxr1c	6.08390518283409e-15	1.63689178464356	0.886	0.148	1.19396639213119e-10
robo3	1.34839774125851e-14	-2.10463990843813	0.727	0.967	2.64623056721982e-10
ntn1b	3.49797681263333e-14	-2.40408672384824	0.318	0.934	6.86477949479291e-10
sox13	4.98911117913053e-14	-1.80532629030893	0.705	1	9.79113068904366e-10
mllt3	5.39328066812251e-14	-2.04295379045237	0.5	0.984	1.05843133111904e-09
tpm4a	8.32089473165064e-14	1.6991116364484	0.864	0.213	1.63297559108644e-09
ankmy1	2.93358064665375e-13	1.41093310094611	0.659	0	5.75715201905799e-09
auts2b	4.3017767626771e-13	-1.42991612659624	0.386	0.951	8.4422368967538e-09
stat3	7.73247885981028e-13	1.6496429601841	1	0.574	1.51749897623777e-08
tenm4	1.39656655469449e-12	-1.87158199459742	0.432	0.951	2.74076186358794e-08
chl1b	2.68957228134334e-12	-1.87419084710018	0.409	0.934	5.27828560213631e-08
ctnnal1	8.92692327018786e-12	-1.61615712232475	0.159	0.803	1.75190869177437e-07
serpinh1b	2.3759618285017e-11	1.60058873587056	0.886	0.262	4.66282508843458e-07
phc2a	4.05846115562661e-11	-1.7863238824674	0.273	0.885	7.96473001791723e-07
alcamb	4.43341848274685e-11	-1.46673853338595	0.659	0.967	8.70058377239069e-07
apcdd1l	6.12205507559670e-11	1.27538550895033	0.591	0.016	1.20145330858585e-06
CABZ01029822.1	9.87595263484813e-11	1.12553088208386	0.545	0	1.93815570458895e-06
hsp90b1	1.00830599619601e-10	1.15527822547791	0.545	0	1.97880051753467e-06
hspg2	1.13169064032138e-10	-1.35337602086188	0.818	0.984	2.2209428816307e-06
dacha	1.28363117194016e-10	1.4331225250377	0.932	0.492	2.51912617493255e-06
crb2a	1.43446050634157e-10	1.20360993572193	0.568	0.016	2.81512874369534e-06
rasgef1ba	1.48387507073026e-10	1.2579020808164	0.795	0.246	2.91210482630813e-06
SBNO2	1.51949253201762e-10	1.28844166177578	0.591	0.033	2.98200409408458e-06
gfap	3.33322311885717e-10	1.05626821964675	0.727	0.131	6.54145037075719e-06
oga	3.50424057252085e-10	-1.09668370319185	0.159	0.82	6.87707212357217e-06
RALGDS	4.65632735905804e-10	1.00896250486839	0.545	0.016	9.13804244215141e-06
atrx	5.88638301863524e-10	-1.30335216531257	0.614	0.967	1.15520266740717e-05
cux1a	6.78801121807363e-10	-1.43383509473297	0.205	0.77	1.33214720154695e-05
greb1l	7.71044434296945e-10	-1.5839767165756	0.545	0.934	1.51317470230775e-05
klf6a	1.02321388708724e-09	0.914249214774317	0.568	0.033	2.00805725340872e-05
zgc:158463	1.15000588035627e-09	0.944058716060721	1	1	2.25688654019918e-05
mdka	1.28112597848086e-09	1.29969434085539	0.864	0.377	2.51420973276868e-05
calr	1.41145353774362e-09	0.874661413156798	0.523	0.016	2.76997756782186e-05
yap1	1.4809559008283e-09	1.18111970683183	0.909	0.541	2.90637595537554e-05
crema	1.90742147062267e-09	0.833875798310297	0.545	0.033	3.74331463609699e-05
c4b	2.56132406340832e-09	0.983511877211431	0.477	0	5.02659847443883e-05
ctnnd2b	2.70464788615619e-09	-1.2280348029407	0.591	0.951	5.30787147658153e-05
prickle1a	2.77052676613812e-09	-1.10316440797793	0.045	0.623	5.43715877854605e-05
rhbdl3	2.99879956131664e-09	-1.52212162715092	0.205	0.738	5.88514413908391e-05
col7a1l	3.01617315202308e-09	1.04885074808426	0.523	0.016	5.9192398108453e-05
map7d1a	3.19920244070804e-09	-1.21458569064635	0.523	0.918	6.27843478988952e-05
col11a1a	4.13855901765879e-09	1.4172658792127	0.614	0.098	8.12192207215538e-05
macf1a	4.18137291955564e-09	1.27975070151173	0.955	0.754	8.20594435462795e-05
megf6b	4.76346395211766e-09	-1.36301625073228	0.182	0.721	9.34829800603091e-05
stm	4.9512552755014e-09	1.55147606760957	0.591	0.066	9.7168384781715e-05
cbx7a	5.3827834551419e-09	1.16645113739717	0.523	0.033	0.00010563712530716
cdh7a	5.42403887407565e-09	-1.87219945450023	0.705	0.918	0.000106446762903735
ddx5	5.43451442187051e-09	-1.23213025167542	0.409	0.869	0.000106652345529209
il6st	5.91560666269716e-09	1.27276003954351	0.636	0.115	0.000116093780755432
afdna	6.53311766422852e-09	-1.10986520263319	0.773	0.951	0.000128212434160485
ewsr1a	6.71306683901544e-09	-1.15523588554697	0.25	0.77	0.000131743936715678
matn3a	7.1884962332502e-09	0.807354922057604	0.455	0	0.000141074238577535
cdh11	8.34759660014077e-09	-1.7544892866317	0.545	0.885	0.000163821583277763
zbtb16b	1.21624473897629e-08	1.35582850150565	0.795	0.295	0.000238688030024096
fgfr4	1.36731585036858e-08	-1.13750352374993	0.318	0.77	0.000268335735634833
ipo7	1.40239169242045e-08	-1.12671293462101	0.636	0.934	0.000275219369637512
