	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
hsp90aa1.2	1.01302206258196e-18	2.11779175819928	0.806	0.043	1.9880557978171e-14
hivep2a	3.0174619404228e-17	1.42482097670731	0.71	0.021	5.92176905807974e-13
stat3	8.58989587493841e-17	2.15180248230089	1	0.585	1.68576706545666e-12
SBNO2	1.49373650128127e-14	1.55458885167764	0.613	0.021	2.9314578837645e-10
greb1l	5.6220941941987e-14	-1.84768815301001	0.871	1	1.1033359856115e-09
crb2a	4.0091903013658e-13	1.70389711704462	0.806	0.128	7.86803596643038e-09
tpm4a	1.66394758848627e-12	1.30734556639053	0.903	0.277	3.2654971424043e-08
ankmy1	8.10191427676006e-12	1.07493105231827	0.484	0.011	1.59000067681416e-07
tox	3.00967014937076e-11	-1.56676602586017	0.516	0.957	5.90647766814011e-07
atf3	3.48879483784274e-11	2.13090725798954	0.677	0.138	6.84675986926637e-07
zeb1b	5.08640112423962e-11	-1.92126737752188	0.516	0.957	9.98206220632026e-07
oga	6.2637491872689e-11	-1.54096330795478	0.097	0.798	1.22926077800152e-06
ror1	7.28733087075911e-11	-1.49914313226015	0.677	0.979	1.43013868338648e-06
serpinh1b	8.21547957256203e-11	1.80850073662096	0.871	0.351	1.6122878661153e-06
adgrl2a	8.44581390873063e-11	-1.26430724405696	0.935	1	1.65749097958839e-06
zbtb16a	2.3079247913579e-10	-1.30583459372161	1	1	4.52930240303988e-06
hsp70l	2.84165181888738e-10	0.689659879387849	0.387	0	5.57674169456648e-06
map7d2b	4.12174607071622e-10	0.872472086727563	0.613	0.085	8.08892666378059e-06
ewsr1b	4.19125702079838e-10	-1.23073054669979	0.323	0.883	8.22534190331682e-06
puf60a	1.25620633432229e-09	-1.10608777900763	0.516	0.979	2.46530493110749e-05
top2b	2.81465381701495e-09	-1.21292393900556	0.581	0.957	5.52375811589184e-05
chordc1a	2.86596595306438e-09	0.585125784637452	0.387	0.011	5.62445818288885e-05
col2a1a	3.60956953866231e-09	0.946388396139955	0.613	0.117	7.08378021962478e-05
slc7a7	5.22448960173077e-09	1.0095052066125	0.71	0.191	0.000102530608433966
jarid2b	5.49276526501772e-09	-1.01565498955996	0.968	1	0.000107795518325973
angptl4	6.66695688196729e-09	0.938561277185335	0.548	0.074	0.000130839028808608
cirbpb	8.73032252696647e-09	-0.9884429685776	0.645	0.947	0.000171332579591717
atrx	1.03991683277339e-08	-1.08968666524461	0.806	0.979	0.000204083678431777
cdon	1.11110162293584e-08	-1.87386649502417	0.71	0.968	0.000218053693501158
hspa8b	1.14552277282669e-08	0.569365645670138	0.323	0	0.000224808844167238
sorbs2b	1.20478053139743e-08	1.20647833357767	0.613	0.138	0.000236438179286745
klf6a	1.34742591185506e-08	0.919460982038884	0.484	0.053	0.000264432335201556
hspa5	1.40553923202324e-08	1.17205821939846	0.613	0.138	0.00027583707428456
ewsr1a	2.52549584114323e-08	-1.18160680648995	0.29	0.787	0.000495628558824358
zgc:158463	2.57985536818331e-08	0.803555491147157	1	1	0.000506296616005975
tle3a	3.36383121319942e-08	-1.12450022057487	0.097	0.713	0.000660151875590387
rnf24	3.85822863809472e-08	1.06772454801182	0.839	0.372	0.000757177370226088
hsph1	3.99450013953686e-08	0.877232746649586	0.516	0.085	0.00078392065238411
il6st	4.33088223334499e-08	0.846302769333347	0.645	0.16	0.000849935638293955
pdcd4b	4.40070272885881e-08	0.816884361187526	0.548	0.096	0.000863637910538542
fbxw7	5.7932607491099e-08	-0.924960470292239	0.903	0.989	0.00113692742201282
BX005328.1	6.9903232073228e-08	0.472068444315223	0.29	0	0.0013718509294371
matn3a	6.99514089053292e-08	0.600392541290762	0.29	0	0.00137279639976709
ints8	7.97504719137508e-08	-1.00199703118858	0.839	0.989	0.00156510301130736
ilf3b	8.27314139933892e-08	-0.980488782618577	0.581	0.915	0.00162360399962026
si:ch73-335l21.4	8.30497896053255e-08	0.807834621161238	0.387	0.032	0.00162985212100451
jun	1.44506937435793e-07	0.752395634735812	0.387	0.032	0.00283594864717743
ZNF423	1.74279751832912e-07	-1.19086519796991	0.71	0.968	0.0034202401297209
smarca4a	2.01987405836558e-07	-0.999520300896366	0.387	0.84	0.00396400283954244
fam49a	2.17830972152156e-07	0.703897117044622	0.677	0.17	0.00427493282848606
hspg2	3.24204745461616e-07	-1.31658687194134	0.194	0.713	0.00636251812968421
cbl	3.25862965522582e-07	-0.839029116615041	0.065	0.606	0.00639506069838068
col18a1a	3.79197556585098e-07	-1.66213663076414	0.677	0.947	0.00744175204798254
msx1b	3.92949388482457e-07	-1.51199869625543	0.355	0.819	0.00771163174896822
tmem235b	4.1381592227444e-07	0.367731784500487	0.258	0	0.00812113747463588
hsp90b1	4.15697646731334e-07	0.403355694231208	0.258	0	0.00815806631710243
boc	5.10703387388791e-07	-0.904952791367026	0.968	1	0.010022553977505
her15.1	5.27816194386506e-07	-1.37159308253964	0.161	0.681	0.0103583928148352
calr3a	5.45199608381932e-07	0.936259827135998	0.484	0.096	0.0106995423144954
si:ch73-22o12.1	6.1170311681465e-07	-1.17012561258647	0.387	0.819	0.0120046736674875
mpz	6.96692742590459e-07	0.630139884684814	0.323	0.021	0.0136725950733378
malrd1	7.01455454976692e-07	0.422854355738575	0.29	0.011	0.0137660633039176
mlsl	7.01455454976692e-07	0.422854355738575	0.29	0.011	0.0137660633039176
hsh2d	7.34884798659218e-07	0.538991996626619	0.323	0.021	0.0144221141736872
erfl3	7.59181609650807e-07	-1.00124870057702	0.258	0.755	0.0148989390893971
ptpn6	9.39226920548306e-07	0.614892110985877	0.355	0.032	0.0184323283157605
fosab	9.60730310246127e-07	0.850936002941359	0.581	0.149	0.0188543323385802
hspa4a	1.05599501774997e-06	0.816121232346199	0.677	0.255	0.0207239022233431
arhgap33	1.11023562280871e-06	-0.931621079481435	0.161	0.67	0.021788374097621
pcca	1.13227841579969e-06	1.45600263195559	0.71	0.383	0.022220963910069
ncoa2	1.18732695762512e-06	-0.856304109625296	0.839	0.968	0.023301291543393
pard3ab	1.26024152761035e-06	-0.821840459392285	0.677	0.947	0.0247322399793532
ipo7	1.30988100785705e-06	-0.924627418974112	0.677	0.979	0.0257064147791946
cabin1	1.32295445734377e-06	-0.875756472291469	0.226	0.713	0.0259629812253715
azin1a	1.37224571235788e-06	0.831005469432179	0.839	0.372	0.0269303221050234
arid1ab	1.49305376694468e-06	-0.962543653100395	0.645	0.915	0.0293011801762893
tle2a	2.10917460717606e-06	-1.02283997635811	0.677	0.862	0.0413925516658301
baz1b	2.35375121654836e-06	-0.926153273205072	0.258	0.745	0.0461923676247616
ddx5	2.5930659761771e-06	-1.02409832361703	0.419	0.84	0.0508889197824755
ctnnd2b	2.59447383115076e-06	-1.06456928149561	0.194	0.66	0.0509165489363336
fmnl3	2.68208258889418e-06	-1.33401911708166	0.323	0.734	0.0526358708070484
calr	2.73773947358177e-06	0.511125203193675	0.387	0.053	0.0537281371690422
tmem132e	2.75828362751685e-06	-0.918981617802817	0.516	0.851	0.0541313161900181
actb1	2.91620301244012e-06	0.658809227516084	0.677	0.234	0.0572304841191374
grk4	3.39529542394747e-06	-0.85130342856693	0.097	0.574	0.066632672694969
pax3a	3.52140503101433e-06	-1.40194759716375	0.548	0.862	0.0691075737336562
junba	3.60179458845811e-06	0.640285268414275	0.484	0.106	0.0706852187984903
CR848788.2	3.64971286169838e-06	0.641034525788108	0.484	0.117	0.0716256149108306
nkain4	3.78629870068069e-06	-0.956984127758494	0.226	0.734	0.0743061120008584
klf7b	3.94694385941454e-06	0.570018892247243	0.29	0.021	0.0774587732410103
