	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
hsp90aa1.2	4.64971730183706e-34	2.921529872164	0.947	0.035	9.12507020485523e-30
ankmy1	4.70567821834747e-22	1.03747470541866	0.579	0	9.23489350350691e-18
serpinh1b	4.85747578714219e-20	2.20088009261135	0.921	0.217	9.53279623226655e-16
greb1l	2.98914550963169e-19	-2.32216201856543	0.737	1	5.8661980626522e-15
hsh2d	5.85214771263658e-19	0.901819606061097	0.5	0	1.14848398860493e-14
adgrl2a	1.00422418084559e-18	-1.74432831153072	1	1	1.97078995490948e-14
hspa5	5.26782051428554e-18	1.39070692022403	0.684	0.077	1.03380977592854e-13
crb2a	6.116347054874e-17	1.21150410519371	0.447	0	1.20033310951902e-12
SBNO2	8.1751814712925e-17	1.01743695218212	0.5	0.014	1.60437936374115e-12
chordc1a	8.95752127771266e-17	0.599999817020063	0.474	0.007	1.75791355075111e-12
jdp2b	1.47330610337888e-16	0.722119264454787	0.5	0.014	2.89136322788105e-12
stat3	1.55027620384652e-16	1.99535983152244	0.947	0.455	3.04241705004879e-12
c4b	2.53882902845751e-16	1.09480788048461	0.553	0.035	4.98245196834787e-12
maptb	3.53817496448869e-16	0.985944404778581	0.579	0.042	6.94366836780905e-12
calr	7.8466249640739e-16	0.76651338381324	0.5	0.021	1.5399001491995e-11
tpm4a	1.44358559263219e-15	1.53259803119927	0.763	0.168	2.83303672554068e-11
hsph1	2.67962058219539e-15	1.18113045615019	0.632	0.077	5.25875539255845e-11
hspa8b	5.60765551271547e-15	0.682809824119301	0.395	0	1.10050239437041e-10
hsp70.3	5.65713973142036e-15	0.941897045436432	0.395	0	1.11021367229124e-10
kif1b	2.87332438813092e-14	1.01382343735402	0.684	0.119	5.63889911170693e-10
ptprna	3.8292665499802e-14	1.23898484161582	0.684	0.133	7.51493560433614e-10
sugt1	5.21562253227278e-14	1.05180148691776	0.711	0.14	1.02356592195853e-09
hivep2a	5.61515137461512e-14	1.09251606897662	0.5	0.035	1.10197345726822e-09
klf7b	5.92734166907083e-14	0.970046777898372	0.447	0.021	1.16324080255515e-09
bmpr1ab	1.59056161949155e-13	1.26263091120359	0.974	0.531	3.12147717825217e-09
jarid2b	1.75730406001186e-13	-1.36851765425717	0.868	0.993	3.44870921777327e-09
bmpr1ba	1.99970510139177e-13	-1.54563937091012	0.421	0.951	3.92442126148135e-09
atrx	4.10370161750898e-13	-1.15688330078631	0.816	1	8.05351442436137e-09
matn3a	4.79711903164261e-13	0.610053481683987	0.342	0	9.41434609959861e-09
hsp70l	4.79970095567466e-13	0.796466605914868	0.342	0	9.41941312551151e-09
ccdc85ca	6.73768678277322e-13	1.3567286660077	0.868	0.322	1.32227103111924e-08
hoxb3a	1.45609960383976e-12	0.801299759650812	0.474	0.042	2.85759547253553e-08
CABZ01080568.1	2.57745270539193e-12	1.02671401058088	0.579	0.098	5.05825093433166e-08
dnajb2	2.68389046210338e-12	0.921593993368523	0.447	0.035	5.26713503187787e-08
atf3	2.8551854805131e-12	1.53597588873455	0.658	0.161	5.60330150550697e-08
jun	3.34063627651415e-12	0.820795935276609	0.421	0.028	6.55599869265901e-08
abca3b	3.3783475272521e-12	1.00615916495245	0.632	0.126	6.63000702223225e-08
skap2	3.88937133020652e-12	1.00505322772629	0.447	0.035	7.63289123553029e-08
zgc:158463	4.22255634681314e-12	0.932339044085875	1	0.993	8.28676683062078e-08
ptprfb	4.29526085397421e-12	-1.17470278307572	0.921	1	8.42944942592439e-08
il6st	5.54877904157387e-12	1.07606320309591	0.632	0.126	1.08894788690887e-07
hsp90b1	6.54373189560651e-12	0.696215132279367	0.342	0.007	1.28420738451278e-07
her8.2	6.83466562407027e-12	0.523378535417151	0.342	0.007	1.34130312872379e-07
sinhcaf	7.11416517861063e-12	0.49690632405596	0.342	0.007	1.39615491630234e-07
rnf24	1.17744416816768e-11	1.18013993428438	0.711	0.203	2.31073418002907e-07
col7a1l	1.79629438038616e-11	1.3396923743632	0.763	0.224	3.52522772150784e-07
chd7	3.37369702576276e-11	-1.11711864226766	0.737	0.965	6.62088041305942e-07
ipo7	5.0330510319239e-11	-1.01014729448132	0.737	0.993	9.87736265015065e-07
egfra	5.98923124832501e-11	0.958336728819255	0.474	0.063	1.17538663248378e-06
oga	9.9643889629532e-11	-1.23337920487443	0.158	0.762	1.95551133397956e-06
yap1	1.13314890132191e-10	0.991965906766009	0.921	0.51	2.22380471884425e-06
cldn5a	1.25855778609033e-10	0.877010033225416	0.842	0.315	2.46991965520227e-06
fer1l4	1.98955745695346e-10	0.730105500348991	0.421	0.042	3.90450650927116e-06
plch1	2.64549366601772e-10	-0.918997919040416	0.895	0.979	5.19178131955977e-06
zeb1b	2.80093171027259e-10	-1.34858372688841	0.684	0.986	5.49682848140996e-06
pcdh19	3.44849454157297e-10	-1.43354256103353	0.921	0.972	6.76767053783696e-06
insrb	3.83864499472951e-10	0.928507668209253	0.974	0.776	7.53334080215667e-06
crema	4.52574839800935e-10	0.645157282639903	0.447	0.056	8.88178123109335e-06
malrd1	5.21227851379662e-10	0.469939276455691	0.289	0.007	1.02290965833259e-05
kcnh6a	6.07517591617358e-10	0.459955187883069	0.316	0.014	1.19225327354906e-05
nt5dc2	7.43416884862207e-10	0.668489786470526	0.553	0.112	1.45895563654208e-05
her4.2	8.3489192490266e-10	-1.98312133687692	0.211	0.727	1.63847540262147e-05
rpl26	1.0784977272008e-09	0.643454987408902	0.5	0.084	2.11655178963157e-05
chl1b	1.20652241495186e-09	-1.58545564550151	0.368	0.839	2.36780023934302e-05
xpo4	1.23151490074241e-09	-1.03447513646035	0.184	0.748	2.41684799270699e-05
tfdp2	1.41874922496e-09	-1.4646195281294	0.395	0.804	2.784295353984e-05
p4ha2	1.8515609042309e-09	0.604276421572611	0.421	0.056	3.63368827455315e-05
angptl4	2.44207435057276e-09	0.676923793670607	0.421	0.056	4.79257091299905e-05
tox	2.75368451104688e-09	-1.12295438464979	0.711	0.958	5.4041058529295e-05
auts2b	2.81506148773138e-09	-1.20064800304156	0.474	0.895	5.52455816967283e-05
nop56	4.05945475741833e-09	-0.980161435510043	0.658	0.937	7.96667996143347e-05
brdt	4.45107219934636e-09	0.98969898084925	0.895	0.594	8.73522919121723e-05
NAV1	4.5348453290644e-09	-1.26536070847311	0.421	0.839	8.89963395828888e-05
hsp70.1	4.59787533079612e-09	0.385875011667216	0.263	0.007	9.02333033668739e-05
llgl1	6.60539199862991e-09	-1.09785935169555	0.316	0.79	0.000129630817973112
eif2ak1	6.8880405345482e-09	0.575418352234484	0.368	0.042	0.000135177795490508
phactr4b	7.13330460376438e-09	-1.02801859387936	0.184	0.706	0.000139991102848876
zbtb16a	7.74022956741655e-09	-0.946389952095513	0.974	0.979	0.00015190200526055
her15.1	8.69240382832578e-09	-1.26089277352741	0.237	0.741	0.000170588425130894
hspg2	9.37787259340822e-09	-1.33598369010878	0.263	0.769	0.000184040749645636
lamb2	9.9628203411954e-09	0.933970129664803	0.684	0.224	0.00019552034919596
robo3	1.0371840759005e-08	-1.41463063640892	0.421	0.804	0.000203547374895474
klf6a	1.20309777485842e-08	0.599353593026778	0.421	0.063	0.000236107938315965
edrf1	1.2630349924324e-08	0.791314118149265	0.684	0.245	0.000247870617264859
birc2	1.27389234177914e-08	0.566556755623453	0.447	0.077	0.000250001372074157
adka	1.43852820792552e-08	-1.03112910858036	0.632	0.937	0.000282311160805383
efcab11	1.94445703072215e-08	0.742018821892492	0.632	0.189	0.000381599692279222
nsd2	2.03957915401994e-08	-1.03291462247274	0.368	0.811	0.000400267408976413
DNAH10	2.24677740747385e-08	0.275634442613427	0.211	0	0.000440930066216743
znf831	2.2548799523412e-08	0.306661338234052	0.211	0	0.00044252019064696
gpc1a	2.26068317231222e-08	0.395928676331139	0.211	0	0.000443659072566273
BX005328.1	2.2641713915188e-08	0.42449782852791	0.211	0	0.000444343635585564
CABZ01029822.1	2.26882969682327e-08	0.506959988719883	0.211	0	0.000445257828001567
letm1	2.27984008848127e-08	-1.10365303171621	0.447	0.846	0.000447418617364449
tenm4	2.41006489383313e-08	-1.40805939462807	0.447	0.839	0.000472975235414751
hoxa2b	2.66383687182606e-08	0.412711196639532	0.316	0.028	0.000522777986095864
usp2a	2.85931659089572e-08	0.635819418060566	0.421	0.07	0.000561140880963285
znf609b	3.33213599430808e-08	-0.876110542763864	0.842	0.979	0.000653931688882961
actn4	3.4610975246867e-08	-1.00255995638359	0.5	0.818	0.000679240389219765
ewsr1b	3.67681079246966e-08	-0.926305106668584	0.421	0.874	0.000721574118022171
cnn2	3.68614660992727e-08	0.486922235483338	0.263	0.014	0.000723406272198228
myl9b	3.79423723383385e-08	0.3567286660077	0.237	0.007	0.000744619057139893
pdcd4b	4.24011214925627e-08	0.859476403440668	0.526	0.133	0.000832122009291543
hspa4l	4.32374320332411e-08	0.629009860063305	0.237	0.007	0.000848534603652357
sall4	4.49607794684071e-08	0.897444253639689	0.658	0.21	0.00088235529706749
znf827	5.30485598297793e-08	-1.01784717438379	0.184	0.692	0.00104107798665942
cuedc1a	5.7387075267927e-08	0.297233979219596	0.263	0.014	0.00112622135213307
thoc2	5.79914132110269e-08	-0.873551664759061	0.816	0.944	0.0011380814842664
ppp1r1b	7.30566918826385e-08	0.420695757435842	0.342	0.042	0.00143373757819678
bcar1	8.35150557790669e-08	0.789459816809809	0.553	0.168	0.00163898296966419
pax7b	8.94133240495197e-08	-1.91348267164482	0.158	0.622	0.00175473648447182
fabp3	1.07925501898322e-07	0.692377446077119	0.553	0.161	0.00211803797475458
cited4a	1.16054795315323e-07	0.689551401998356	0.395	0.07	0.00227757535806321
rbm25b	1.22431983083769e-07	-0.912484612081742	0.263	0.692	0.00240272766801897
hspd1	1.37516142174132e-07	0.558306868720103	0.447	0.091	0.00269875429016735
si:ch73-364h19.1	1.55361446906947e-07	0.713530264932796	0.579	0.161	0.00304896839554883
znf710a	1.61767295696447e-07	0.731908794247651	0.579	0.182	0.00317468317804277
htr3a	1.66100037749331e-07	0.440191933061639	0.289	0.028	0.00325971324083063
tmem235b	1.84328574840806e-07	0.275634442613427	0.184	0	0.00361744828125082
htr3b	1.84681573073755e-07	0.337034987277571	0.184	0	0.00362437587157243
rasal2	1.95670409322142e-07	-0.810807911611702	0.895	0.986	0.00384003178294704
slc7a7	1.96677886338473e-07	0.889804846065555	0.605	0.217	0.00385980351939254
ptmaa	2.32310331634632e-07	0.871301838837458	0.737	0.364	0.00455909025832966
trim71	2.41886349925623e-07	-0.854717002211835	0.842	0.944	0.00474701961729036
mdkb	2.46587741002588e-07	-0.910597502537476	0.316	0.734	0.00483928441717579
rasgef1ba	2.48676473475385e-07	0.844829627476267	0.526	0.161	0.00488027579195442
sb:cb81	2.51529413444116e-07	0.813540119273809	0.605	0.224	0.00493626473884077
klf13	2.61183000436322e-07	0.426516996164562	0.395	0.07	0.00512571638356282
hist1h4l.6	2.66760268109208e-07	0.711124813946708	0.579	0.196	0.00523517026164321
drp2	2.70737685595816e-07	0.365975454229511	0.263	0.021	0.0053132270798179
scube2	2.83495577428027e-07	-1.21581172386357	0.289	0.699	0.00556360070702502
odc1	2.84497778533101e-07	-0.916396123852136	0.026	0.497	0.0055832689037121
hsp70.2	2.86738981726728e-07	0.513394446844529	0.237	0.014	0.00562725251638704
she	3.06119896584128e-07	0.3567286660077	0.211	0.007	0.0060076029704635
tg	3.12867947625935e-07	0.296607673570129	0.211	0.007	0.00614003347215897
nrd1b	3.25658798798442e-07	0.346744577435078	0.237	0.014	0.00639105392641943
herc4	3.28241451480621e-07	0.676565760403876	0.658	0.245	0.00644173848530719
sfswap	3.29080234406971e-07	-0.90594176621497	0.658	0.888	0.00645819960023681
pkd1b	3.41232090533779e-07	0.537199030003993	0.368	0.063	0.00669667977672542
ezh2	3.42644739963377e-07	-0.858574330542429	0.211	0.706	0.00672440302178128
ror1	3.66861748895287e-07	-1.27316758192218	0.421	0.818	0.00719966182207
hist1h4l.16	3.6692130975133e-07	0.602259324202189	0.579	0.182	0.00720083070386986
etv4	3.67739548337058e-07	-1.12291493387685	0.132	0.601	0.00721688863611477
usp54a	4.31513235903559e-07	-0.819860065715623	0.474	0.874	0.00846844725460734
si:ch211-152c2.3	4.32758543944662e-07	-0.819860065715623	0.105	0.566	0.008492886424914
trioa	4.44629926453547e-07	-0.77419751175372	0.526	0.888	0.00872586230665086
ubr5	4.72623740983586e-07	-0.81153854146778	0.684	0.874	0.00927524091680288
pdia6	5.07010655235127e-07	0.599060868050449	0.421	0.091	0.00995008410898938
eif3ea	5.10796470324393e-07	-0.953126596579088	0.316	0.727	0.0100243807301162
her4.2.1	5.14612125727047e-07	-1.23728218543967	0.026	0.483	0.0100992629673933
nos1apa.1	5.2052974441003e-07	-0.870664436387115	0.526	0.909	0.0102153962340468
fmnl3	5.25186154213087e-07	-1.18031468451718	0.237	0.671	0.0103067782764318
asph	5.84099210675986e-07	0.336631492647367	0.316	0.042	0.0114629470095162
dlg5a	6.37976785530207e-07	-0.850146364987018	0.553	0.867	0.0125202944160303
pdlim1	6.3863311748276e-07	0.509845379763458	0.289	0.035	0.0125331749305992
actb1	6.51678400957596e-07	0.830413937838206	0.579	0.238	0.0127891886187928
grk4	6.56120939956109e-07	-0.981140972748684	0.263	0.657	0.0128763734466386
mdka	6.63010344141818e-07	1.07309861514938	0.658	0.329	0.0130115780037832
ylpm1	6.71787014975013e-07	-0.868444051122531	0.289	0.727	0.0131838201688846
FO704772.3	8.10983817812131e-07	0.656443090186418	0.658	0.266	0.0159155574245631
her12	8.14143856168677e-07	-1.07944304636049	0.079	0.531	0.0159775731773103
abcc5	8.20388993240099e-07	0.590015728447442	0.368	0.07	0.0161001339923369
FP236630.1	8.2885208880929e-07	0.37491579967735	0.289	0.035	0.0162662222428823
atf6	8.65455851647597e-07	0.544734849146575	0.553	0.168	0.0169845710885841
