Var1	Var2	Var3	Freq
CHB.2	0	HB10hpf	18
HB.2	0	HB10hpf	1
HB.3	0	HB10hpf	2
NC.2	0	HB10hpf	6
CHB.1	1	HB10hpf	18
SC.1	1	HB10hpf	6
SC.2	1	HB10hpf	16
SC.3	1	HB10hpf	3
HB.1	2	HB10hpf	19
CHB.1	3	HB10hpf	1
CHB.3	3	HB10hpf	7
HB.2	3	HB10hpf	2
FB	4	HB10hpf	2
MB	4	HB10hpf	11
MHB.1	4	HB10hpf	7
FB & eye.1	5	HB10hpf	1
FB & eye.5	5	HB10hpf	16
MB	5	HB10hpf	2
MHB.1	5	HB10hpf	2
MHB.3	5	HB10hpf	18
MHB.2	6	HB10hpf	16
MHB.3	6	HB10hpf	2
CHB.1	7	HB10hpf	2
CHB.2	7	HB10hpf	1
HB.3	7	HB10hpf	1
NC.1	7	HB10hpf	1
NC.2	7	HB10hpf	2
CHB.1	8	HB10hpf	3
CHB.3	8	HB10hpf	1
SC.2	8	HB10hpf	1
MHB.1	9	HB10hpf	17
MHB.3	9	HB10hpf	5
FB	10	HB10hpf	1
MB	10	HB10hpf	1
NC.1	10	HB10hpf	1
SC.1	10	HB10hpf	42
SC.2	10	HB10hpf	2
SC.3	10	HB10hpf	8
HB.1	12	HB10hpf	8
SC.1	12	HB10hpf	1
HB.1	13	HB10hpf	6
HB.2	13	HB10hpf	7
HB.3	13	HB10hpf	1
MHB.2	13	HB10hpf	1
FB & eye.5	14	HB10hpf	2
MB	14	HB10hpf	29
HB.1	15	HB10hpf	7
HB.1	16	HB10hpf	2
HB.2	17	HB10hpf	1
CHB.1	19	HB10hpf	3
CHB.2	19	HB10hpf	1
NC.2	19	HB10hpf	4
SC.3	19	HB10hpf	2
HB.1	20	HB10hpf	3
HB.2	20	HB10hpf	2
HB.3	20	HB10hpf	5
SC.2	20	HB10hpf	1
HB.1	21	HB10hpf	2
HB.2	21	HB10hpf	1
MB	21	HB10hpf	1
CHB.1	24	HB10hpf	4
NC.2	24	HB10hpf	1
SC.2	24	HB10hpf	16
HB.1	25	HB10hpf	1
MHB.1	25	HB10hpf	1
MHB.2	25	HB10hpf	7
MHB.3	25	HB10hpf	1
FB	26	HB10hpf	1
MB	26	HB10hpf	2
MHB.1	26	HB10hpf	8
MHB.3	26	HB10hpf	4
HB.2	27	HB10hpf	4
CHB.3	28	HB10hpf	1
FB	28	HB10hpf	2
CHB.1	29	HB10hpf	1
FB	29	HB10hpf	2
FB & eye.1	29	HB10hpf	2
FB & eye.5	29	HB10hpf	1
FB & eye.8	29	HB10hpf	1
HB.1	29	HB10hpf	5
HB.2	29	HB10hpf	1
HB.3	29	HB10hpf	2
MB	29	HB10hpf	2
MHB.2	29	HB10hpf	1
NC.1	29	HB10hpf	1
FB	30	HB10hpf	4
MB	30	HB10hpf	1
MHB.1	30	HB10hpf	1
FB &  eye.2	31	HB10hpf	1
NC.1	33	HB10hpf	1
CHB.1	34	HB10hpf	6
CHB.2	34	HB10hpf	14
CHB.3	34	HB10hpf	14
HB.2	34	HB10hpf	1
NC.2	34	HB10hpf	1
NC.1	35	HB10hpf	2
NC.1	36	HB10hpf	20
NC.2	36	HB10hpf	2
CHB.2	37	HB10hpf	1
HB.1	37	HB10hpf	2
HB.2	37	HB10hpf	21
HB.3	37	HB10hpf	2
NC.2	37	HB10hpf	1
NC.1	39	HB10hpf	20
SC.3	39	HB10hpf	3
HB.1	40	HB10hpf	1
MHB.1	40	HB10hpf	3
MHB.2	40	HB10hpf	11
MHB.3	40	HB10hpf	1
CHB.2	41	HB10hpf	1
CHB.3	41	HB10hpf	1
HB.1	41	HB10hpf	1
MHB.2	41	HB10hpf	1
SC.2	41	HB10hpf	1
CHB.1	0	HB13hpf	46
CHB.3	1	HB13hpf	2
SC.1	1	HB13hpf	31
SC.2	1	HB13hpf	5
r3	2	HB13hpf	44
r5	2	HB13hpf	1
CHB.2	3	HB13hpf	39
CHB.3	3	HB13hpf	2
SC.2	3	HB13hpf	3
FB.4	4	HB13hpf	1
MB.1	4	HB13hpf	1
MB.2	4	HB13hpf	28
MB.3	4	HB13hpf	30
MHB.4	4	HB13hpf	1
MB.1	5	HB13hpf	1
MHB.2	5	HB13hpf	32
MHB.3	5	HB13hpf	3
MHB.4	5	HB13hpf	3
MHB.1	6	HB13hpf	43
MHB.2	6	HB13hpf	1
MHB.5	6	HB13hpf	4
r1	6	HB13hpf	2
CHB.3	7	HB13hpf	2
FB.2	7	HB13hpf	1
Neuron	7	HB13hpf	18
r1 & r2	7	HB13hpf	1
r4	7	HB13hpf	1
SC.1	7	HB13hpf	3
CHB.2	8	HB13hpf	3
CHB.3	8	HB13hpf	27
SC.1	8	HB13hpf	1
FB.4	9	HB13hpf	1
MB.2	9	HB13hpf	1
MHB.2	9	HB13hpf	1
MHB.3	9	HB13hpf	9
MHB.4	9	HB13hpf	24
MHB.5	9	HB13hpf	1
SC.3	10	HB13hpf	12
CHB.1	12	HB13hpf	1
MHB.1	12	HB13hpf	1
r1	12	HB13hpf	1
r1 & r2	12	HB13hpf	22
r5	12	HB13hpf	1
CHB.3	13	HB13hpf	2
FB.4	13	HB13hpf	1
r1	13	HB13hpf	1
r2	13	HB13hpf	4
r4	13	HB13hpf	16
MB.1	14	HB13hpf	30
MB.2	14	HB13hpf	2
r1	15	HB13hpf	26
r1 & r2	15	HB13hpf	1
r1	16	HB13hpf	1
r1 & r2	16	HB13hpf	4
r2	16	HB13hpf	30
r5	17	HB13hpf	20
CHB.1	19	HB13hpf	1
SC.2	19	HB13hpf	21
MB.2	20	HB13hpf	1
r1 & r2	20	HB13hpf	1
r4	20	HB13hpf	21
r5	21	HB13hpf	20
CHB.3	24	HB13hpf	1
Ciliated	24	HB13hpf	4
SC.1	24	HB13hpf	9
MHB.4	25	HB13hpf	2
MHB.5	25	HB13hpf	16
r1	25	HB13hpf	2
MB.2	26	HB13hpf	1
MHB.2	26	HB13hpf	1
MHB.3	26	HB13hpf	20
CHB.2	27	HB13hpf	1
r6	27	HB13hpf	23
Ciliated	28	HB13hpf	23
FB.4	28	HB13hpf	1
CHB.3	29	HB13hpf	1
FB.1	29	HB13hpf	1
MB.1	29	HB13hpf	2
MB.2	29	HB13hpf	1
MHB.1	29	HB13hpf	1
MHB.4	29	HB13hpf	1
r3	29	HB13hpf	1
