	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
bicd1a	9.87432260755619e-47	3.03023862938428	0.837	0.174	2.96229678226686e-43	0	bicd1a
rxraa	1.10234892205798e-46	2.97853909091486	0.867	0.239	3.30704676617393e-43	0	rxraa
cdon	3.85648915079653e-46	2.98255772045117	0.889	0.305	1.15694674523896e-42	0	cdon
hs6st1a	2.05381987457854e-42	3.20332313568794	0.874	0.318	6.16145962373563e-39	0	hs6st1a
kcnab1a	4.32448361991808e-39	3.67006594146759	0.815	0.249	1.29734508597543e-35	0	kcnab1a
col7a1l	4.01447648637634e-38	2.38818917963725	0.793	0.279	1.2043429459129e-34	0	col7a1l
olig3	2.91068084079189e-37	3.50007301356383	0.741	0.141	8.73204252237567e-34	0	olig3
zic2b	4.77515622369058e-36	2.39516429839451	0.867	0.268	1.43254686710717e-32	0	zic2b
adgrl1a	8.20332578433746e-36	2.96889713962086	0.822	0.216	2.46099773530124e-32	0	adgrl1a
bahcc1b	4.33435868995029e-35	2.67238901991253	0.837	0.371	1.30030760698509e-31	0	bahcc1b
ZNF423	2.03353577816422e-34	2.0538539624955	0.807	0.321	6.10060733449267e-31	0	ZNF423
bmp1b	4.98698003843112e-34	3.78186022366926	0.704	0.139	1.49609401152934e-30	0	bmp1b
BX908388.3	1.94867606260167e-33	1.74920671489801	0.756	0.225	5.84602818780501e-30	0	BX908388.3
boc	2.50282599609082e-33	2.49719657887337	0.881	0.391	7.50847798827245e-30	0	boc
neo1a	6.40341219011505e-33	2.75161006137174	0.83	0.387	1.92102365703451e-29	0	neo1a
bcam	3.0494525331767e-32	1.22127341475157	0.785	0.286	9.14835759953011e-29	0	bcam
dacha	1.83805048381434e-30	2.07913844040496	0.815	0.344	5.51415145144301e-27	0	dacha
zic3	2.93112171013284e-29	2.11819060142416	0.719	0.192	8.79336513039852e-26	0	zic3
tshz1	8.4186614897402e-29	1.9614519846028	0.763	0.309	2.52559844692206e-25	0	tshz1
unc5b	1.2975136716554e-28	1.38652794081399	0.793	0.323	3.89254101496621e-25	0	unc5b
zfhx4	1.33541150646018e-28	1.1369500314781	0.852	0.39	4.00623451938055e-25	0	zfhx4
nfixb	8.53212327740091e-28	3.52712783390743	0.637	0.157	2.55963698322027e-24	0	nfixb
chl1a	2.0247199853228e-27	0.896605735351597	0.756	0.298	6.07415995596841e-24	0	chl1a
msx1b	3.58721876112071e-27	1.92015693215944	0.711	0.249	1.07616562833621e-23	0	msx1b
map7d1a	4.16686975079497e-27	2.48627531873477	0.8	0.383	1.25006092523849e-23	0	map7d1a
notum1a	1.40681490676232e-26	2.44908645369938	0.748	0.212	4.22044472028697e-23	0	notum1a
zgc:112332	7.18636398344886e-26	3.1141710218941	0.622	0.13	2.15590919503466e-22	0	zgc:112332
zbtb16b	1.45405842140517e-25	1.75889570691316	0.77	0.385	4.3621752642155e-22	0	zbtb16b
hoxc1a	7.59488012455188e-25	1.60105790568195	0.741	0.218	2.27846403736556e-21	0	hoxc1a
cdc42ep4b	3.09366045797067e-24	1.22732772099859	0.533	0.101	9.28098137391202e-21	0	cdc42ep4b
pax3a	4.94294586620675e-24	1.24884710991834	0.8	0.354	1.48288375986202e-20	0	pax3a
zic2a	5.39289465147594e-24	1.56130716466912	0.748	0.19	1.61786839544278e-20	0	zic2a
wnt3a	8.17764576309726e-24	2.07667937916358	0.696	0.207	2.45329372892918e-20	0	wnt3a
atp1b3a	1.66500825333856e-23	1.75768734164212	0.763	0.279	4.99502476001568e-20	0	atp1b3a
ppp1r13ba	1.57122900969918e-22	2.29719271995325	0.674	0.189	4.71368702909753e-19	0	ppp1r13ba
myo15b	5.33617208409039e-22	2.69105629894926	0.526	0.087	1.60085162522712e-18	0	myo15b
neurod6a	1.4155493009979e-21	1.81226957227878	0.481	0.098	4.24664790299371e-18	0	neurod6a
raraa	4.14123010359583e-21	1.41569880436182	0.748	0.308	1.24236903107875e-17	0	raraa
efnb3b	3.04977660055462e-20	0.964536085557021	0.719	0.367	9.14932980166386e-17	0	efnb3b
crabp2a	3.54495158711564e-19	2.78273139783638	0.63	0.182	1.06348547613469e-15	0	crabp2a
zgc:152891	3.96885434381982e-19	1.27404477648725	0.504	0.137	1.19065630314595e-15	0	zgc:152891
si:dkey-37g12.1	9.40133640067108e-19	0.384645821356425	0.037	0.261	2.82040092020132e-15	0	si:dkey-37g12.1
sema6ba	9.83834103569205e-19	1.38482033379578	0.644	0.172	2.95150231070761e-15	0	sema6ba
tenm3	1.27265178690766e-18	1.1877337386321	0.711	0.386	3.81795536072297e-15	0	tenm3
igsf9a	2.32158613374193e-18	2.25209770643153	0.689	0.367	6.96475840122578e-15	0	igsf9a
smad1	2.75969439138014e-18	2.00848900467953	0.644	0.191	8.27908317414041e-15	0	smad1
draxin	2.91404405710287e-18	1.4865058908054	0.541	0.171	8.74213217130862e-15	0	draxin
chst15	3.76942347706974e-18	0.561105553746355	0.467	0.099	1.13082704312092e-14	0	chst15
sema3gb	6.35398044716312e-18	2.43804973178229	0.667	0.282	1.90619413414893e-14	0	sema3gb
mmp24	1.22157791956008e-17	2.93037862563951	0.585	0.171	3.66473375868023e-14	0	mmp24
fgfr4	2.0783009650204e-17	1.66386131114585	0.696	0.324	6.23490289506119e-14	0	fgfr4
plxdc2	2.25930554292044e-17	0.321625918581185	0.681	0.358	6.77791662876133e-14	0	plxdc2
ror1	3.02153641505534e-17	1.02665259670455	0.659	0.358	9.06460924516602e-14	0	ror1
arhgef28a	4.03413069770884e-17	2.37201909956515	0.63	0.205	1.21023920931265e-13	0	arhgef28a
itgb1b.1	5.96802223224891e-17	1.84101661018115	0.504	0.143	1.79040666967467e-13	0	itgb1b.1
FO704777.1	7.15516267780064e-17	1.60669847807706	0.481	0.157	2.14654880334019e-13	0	FO704777.1
rundc3b	7.30466463413097e-17	2.6923257087822	0.57	0.151	2.19139939023929e-13	0	rundc3b
si:dkey-72l17.5	8.62127328781052e-17	0.558753159430213	0.511	0.158	2.58638198634316e-13	0	si:dkey-72l17.5
meis2a	9.37241425697231e-17	1.95493189537761	0.644	0.315	2.81172427709169e-13	0	meis2a
nrp1a	1.14137126925045e-16	0.819987581032717	0.637	0.262	3.42411380775135e-13	0	nrp1a
spock3	1.22047943933291e-16	0.500774358092418	0.474	0.107	3.66143831799873e-13	0	spock3
zgc:171482	1.69819488573318e-16	1.99154488609623	0.533	0.125	5.09458465719955e-13	0	zgc:171482
agap3	2.07580856620974e-16	1.68991603350672	0.704	0.349	6.22742569862923e-13	0	agap3
nectin1b	2.99400657884222e-16	0.745341393170603	0.711	0.374	8.98201973652666e-13	0	nectin1b
tshz3b	3.46085544779353e-16	1.24150787631131	0.689	0.253	1.03825663433806e-12	0	tshz3b
