	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	r1	r2	r3	r4	r5	r6
hoxa4a	3.93460352800706e-30	-1.31514331600013	0.008	0.4	7.67326380031937e-26	0	0.0149253731343284	0	0.0151515151515152	3.77777777777777	2.36666666666667
cyp26b1	5.06831333790491e-28	1.36422165462431	0.516	0.147	9.88422467158216e-24	0.173913043478261	1.64179104477612	2.19047619047619	3.50757575757576	0.150793650793651	0.0222222222222222
tenm4	6.62932636453102e-26	-1.21571975521059	0.667	0.886	1.29285122761084e-21	3.89855072463768	9.50746268656716	3.74603174603174	1.95454545454545	8.38888888888888	12.0333333333333
mafba	8.12237412926709e-25	-1.21294240052939	0.035	0.384	1.58402540268967e-20	0.0289855072463768	0	0.0158730158730159	0.113636363636364	2.86507936507936	3.35555555555555
cyp26c1	6.63448007436598e-17	-0.985987423234274	0.202	0.516	1.29385630410285e-12	0.695652173913043	1.38805970149254	0.301587301587302	0.818181818181818	1.8015873015873	5.46666666666666
map7d1a	2.31199902051314e-13	-0.541192301598172	0.554	0.767	4.50886048980472e-09	2.01449275362319	1.29850746268657	0.746031746031746	1.4469696969697	2.21428571428571	3.06666666666667
cntfr	4.41609291849342e-12	0.549494342164439	0.977	0.957	8.61226440964587e-08	7.49275362318841	12.5522388059702	11.5793650793651	13.2878787878788	8.96825396825396	6.93333333333333
dennd5b	1.20931712974245e-10	-0.602332125112447	0.384	0.598	2.35841026642372e-06	0.840579710144927	1.2089552238806	0.523809523809524	0.734848484848484	1.84920634920635	2.23333333333333
evx1	1.59102323188581e-10	-0.350012945396027	0.035	0.21	3.10281350682371e-06	0.0144927536231884	0	0.0158730158730159	0.0606060606060606	0.825396825396825	0.455555555555556
celsr1a	1.73823514201613e-10	-0.468115161993089	0.349	0.587	3.38990617395985e-06	1.20289855072464	1.08955223880597	0.746031746031746	0.568181818181818	1.56349206349206	1.4
fgfr2	3.603977471151e-10	-0.467894686834356	0.783	0.916	7.02847686423867e-06	6.23188405797101	3.85074626865672	2.29365079365079	3.66666666666667	2.88095238095238	4.46666666666667
egfra	9.27513793544001e-10	0.42438645209463	0.333	0.145	1.80883740016951e-05	0.536231884057971	0.119402985074627	0.484126984126984	0.818181818181818	0.222222222222222	0.244444444444444
epha4a	9.35032321312636e-10	0.682401854260892	0.647	0.428	1.8235000330239e-05	0.347826086956522	0.686567164179105	10.3650793650793	0.772727272727272	9.83333333333333	0.222222222222222
si:ch211-263k4.2.1	1.02509288140524e-09	0.295241532825902	0.178	0.043	1.9991361373165e-05	0.0579710144927536	0.0746268656716418	0.126984126984127	0.446969696969697	0.103174603174603	0.0111111111111111
hoxd3a	1.60170229952307e-09	-0.325669568703185	0.012	0.153	3.12363982452989e-05	0.0289855072463768	0	0.00793650793650794	0.0151515151515152	0.0873015873015873	1.12222222222222
si:ch211-216b21.2	2.26087650197834e-09	-0.574026627486533	0.031	0.188	4.40916135415815e-05	0.0579710144927536	0.0447761194029851	0.111111111111111	0.0151515151515152	1.23809523809524	0.877777777777778
mpz	3.59938627976151e-09	-0.562415581848494	0.283	0.49	7.0195231227909e-05	0.594202898550725	2.13432835820895	1.05555555555556	0.242424242424242	2.26190476190476	0.888888888888889
cadm4	5.95060642283273e-09	0.593862818705455	0.314	0.143	0.000116048726458084	0.144927536231884	0.343283582089552	0.658730158730159	1.14393939393939	0.166666666666667	0.4
efnb3b	7.6051924174173e-09	-0.451075006901855	0.636	0.834	0.000148316462524472	3.47826086956522	4.14925373134328	0.888888888888889	3.76515151515152	1.67460317460317	5.47777777777777
sema3fb	1.08496614952012e-08	0.513406469594124	0.566	0.343	0.000211590098479415	0.202898550724638	0.17910447761194	6.47619047619047	0.522727272727273	6.68253968253967	0.0888888888888889
